IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,11.0,2.35,-78.55,24.32,2019,Oil & Gas E&P
"Dec 19, 2019",MNPR,Monopar Therapeutics Inc.,8.0,45.25,459.38,276.59,2019,Biotechnology
"Dec 13, 2019",OCFT,"OneConnect Financial Technology Co., Ltd.",10.0,6.13,-38.7,246.07,2019,Software - Application
"Dec 13, 2019",SPT,"Sprout Social, Inc.",17.0,21.11,25.59,1230.0,2019,Software - Application
"Dec 12, 2019",BILL,"BILL Holdings, Inc.",22.0,45.24,105.64,4610.0,2019,Software - Application
"Dec 12, 2019",EH,EHang Holdings Limited,12.5,18.75,51.28,1350.0,2019,Aerospace & Defense
"Dec 11, 2019",XP,XP Inc.,27.0,15.9,-41.19,8540.0,2019,Capital Markets
"Dec 5, 2019",LMPX,"LMP Automotive Holdings, Inc.",5.0,0.35,-93.0,17.45,2019,Auto & Truck Dealerships
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",19.0,15.29,-18.63,236.85,2019,REIT - Retail
"Nov 21, 2019",CAN,Canaan Inc.,9.0,0.62,-92.86,231.94,2019,Computer Hardware
"Nov 21, 2019",SITM,SiTime Corporation,13.0,165.41,,3920.0,2019,Semiconductors
"Nov 11, 2019",ETNB,"89bio, Inc.",16.0,8.61,-45.88,1260.0,2019,Biotechnology
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",4.0,1.11,-71.75,3.27,2019,Biotechnology
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,14.5,5.35,-63.38,10.54,2019,Advertising Agencies
"Nov 8, 2019",TELA,"TELA Bio, Inc.",13.0,0.99,-92.15,39.16,2019,Medical Devices
"Nov 5, 2019",XHG,XChange TEC.INC,,0.12,,2.48,2019,Insurance Brokers
"Nov 1, 2019",DUO,Fangdd Network Group Ltd.,13.0,0.24,-98.24,11.63,2019,Real Estate Services
"Oct 31, 2019",RAPT,"RAPT Therapeutics, Inc.",12.0,0.92,-91.94,121.45,2019,Biotechnology
"Oct 25, 2019",CABA,"Cabaletta Bio, Inc.",11.0,1.28,-88.41,64.95,2019,Biotechnology
"Oct 25, 2019",DAO,"Youdao, Inc.",17.0,8.71,-47.88,1040.0,2019,Education & Training Services
"Oct 25, 2019",PAIYY,Aesthetic Medical International Holdings Group Ltd.,,0.2,,9.61,2019,Medical Care Facilities
"Oct 25, 2019",PAVS,Paranovus Entertainment Technology Ltd.,5.5,1.23,-76.36,82.82,2019,Packaged Foods
"Oct 25, 2019",PGNY,"Progyny, Inc.",13.0,23.4,79.08,2000.0,2019,Healthcare Plans
"Oct 25, 2019",PHAT,"Phathom Pharmaceuticals, Inc.",19.0,2.59,-86.05,180.04,2019,Biotechnology
"Oct 24, 2019",BWIN,"The Baldwin Insurance Group, Inc.",,40.69,,4870.0,2019,Insurance Brokers
"Oct 17, 2019",BRBR,"BellRing Brands, Inc.",14.0,78.39,459.93,10060.0,2019,Packaged Foods
"Oct 17, 2019",IPHA,Innate Pharma S.A.,5.5,2.23,-59.64,187.03,2019,Biotechnology
"Oct 11, 2019",HBT,"HBT Financial, Inc.",16.0,23.73,47.5,747.39,2019,Banks - Regional
"Oct 11, 2019",VIR,"Vir Biotechnology, Inc.",20.0,6.15,-69.7,849.09,2019,Biotechnology
"Oct 10, 2019",BNTX,BioNTech SE,15.0,101.1,579.33,24260.0,2019,Biotechnology
"Oct 3, 2019",APRE,"Aprea Therapeutics, Inc.",15.0,1.75,-88.0,9.61,2019,Biotechnology
"Oct 3, 2019",KRRO,"Korro Bio, Inc.",14.0,17.67,42.07,165.9,2019,Biotechnology
"Oct 3, 2019",MCBS,"MetroCity Bankshares, Inc.",13.5,28.53,111.33,719.66,2019,Banks - Regional
"Sep 26, 2019",OPRT,Oportun Financial Corporation,15.0,5.55,-64.47,200.55,2019,Credit Services
"Sep 26, 2019",PTON,"Peloton Interactive, Inc.",29.0,6.89,-76.02,2690.0,2019,Leisure
"Sep 19, 2019",DDOG,"Datadog, Inc.",27.0,105.7,292.63,36500.0,2019,Software - Application
"Sep 19, 2019",XGN,Exagen Inc.,14.0,6.17,-57.0,110.34,2019,Diagnostics & Research
"Sep 18, 2019",IGMS,"IGM Biosciences, Inc.",16.0,1.39,-91.56,83.09,2019,Biotechnology
"Sep 18, 2019",NVST,Envista Holdings Corporation,22.0,17.01,-22.68,2880.0,2019,Medical Instruments & Supplies
"Sep 13, 2019",ALRS,Alerus Financial Corporation,21.0,20.92,-1.14,530.52,2019,Banks - Regional
"Sep 13, 2019",NET,"Cloudflare, Inc.",15.0,124.64,735.87,43190.0,2019,Software - Infrastructure
"Sep 13, 2019",STSA,"Satsuma Pharmaceuticals, Inc.",15.0,1.1,-92.67,36.8,2019,N/A
"Sep 13, 2019",SWTX,"SpringWorks Therapeutics, Inc.",18.0,46.23,156.78,3440.0,2019,Biotechnology
"Sep 12, 2019",TXG,"10x Genomics, Inc.",39.0,8.61,-78.36,1060.0,2019,Health Information Services
"Aug 15, 2019",CFB,"CrossFirst Bankshares, Inc.",14.5,15.99,10.28,788.64,2019,N/A
"Aug 15, 2019",JFU,9F Inc.,9.5,1.5,-85.68,17.66,2019,Information Technology Services
"Aug 14, 2019",BTOG,Bit Origin Ltd,5.0,0.18,-96.54,1.5,2019,Financial Data & Stock Exchanges
"Aug 8, 2019",INMD,InMode Ltd.,14.0,14.25,1.54,967.13,2019,Medical Devices
"Aug 5, 2019",AMTD,AMTD IDEA Group,8.38,1.0,-87.95,66.05,2019,Asset Management
"Aug 1, 2019",DT,"Dynatrace, Inc.",16.0,47.58,197.34,14240.0,2019,Software - Application
"Aug 1, 2019",KRUS,"Kura Sushi USA, Inc.",14.0,60.55,346.86,731.78,2019,Restaurants
"Aug 1, 2019",SNDL,SNDL Inc.,13.0,1.35,-89.58,346.06,2019,Beverages - Wineries & Distilleries
"Jul 31, 2019",BORR,Borr Drilling Limited,9.3,1.62,-82.2,387.68,2019,Oil & Gas Drilling
"Jul 26, 2019",BHAT,Blue Hat Interactive Entertainment Technology,4.0,2.08,-46.5,10.27,2019,Electronic Gaming & Multimedia
"Jul 26, 2019",VIST,"Vista Energy, S.A.B. de C.V.",9.0,42.77,383.0,4640.0,2019,Oil & Gas E&P
"Jul 25, 2019",CSTL,"Castle Biosciences, Inc.",16.0,18.73,17.06,540.27,2019,Diagnostics & Research
"Jul 25, 2019",HCAT,"Health Catalyst, Inc.",26.0,4.06,-84.31,285.06,2019,Health Information Services
"Jul 25, 2019",NOVA,Sunnova Energy International Inc.,12.0,0.21,-98.28,26.59,2019,Solar
"Jul 24, 2019",EIC,Eagle Point Income Company Inc.,19.0,14.54,-23.47,307.43,2019,Asset Management
"Jul 19, 2019",AFYA,Afya Limited,19.0,18.95,-0.26,1710.0,2019,Education & Training Services
"Jul 19, 2019",IFS,Intercorp Financial Services Inc.,46.0,34.61,-23.87,3890.0,2019,Banks - Regional
"Jul 18, 2019",AMK,"AssetMark Financial Holdings, Inc.",22.0,35.24,60.18,2640.0,2019,N/A
