IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y,Return_1W_pct,Return_1M_pct,Return_6M_pct,Return_1Y_pct,Market Cap Size,Success_Q2
2019-12-19,MNPR,Monopar Therapeutics Inc.,132.5,45.25,459.38,276.59,2019,Biotechnology,87.0,86.55,47.5,28.6,-34.34,-34.68,-64.15,-78.42,Small Cap,0
2019-12-13,OCFT,"OneConnect Financial Technology Co., Ltd.",100.0,6.13,-38.7,246.07,2019,Software - Application,98.5,156.8,153.9,206.9,-1.5,56.8,53.9,106.9,Small Cap,1
2019-11-08,CNSP,"CNS Pharmaceuticals, Inc.",342750.0,1.11,-71.75,3.27,2019,Biotechnology,328500.0,295500.0,207000.0,162000.0,-4.16,-13.79,-39.61,-52.74,Small Cap,0
2019-11-08,KRKR,36Kr Holdings Inc.,261.2,5.35,-63.38,10.54,2019,Advertising Agencies,199.6,180.0,73.0,59.8,-23.58,-31.09,-72.05,-77.11,Small Cap,0
2019-11-01,DUO,Fangdd Network Group Ltd.,2925.0,0.24,-98.24,11.63,2019,Real Estate Services,2925.0,2958.75,2520.0,1483.2,0.0,1.15,-13.85,-49.29,Small Cap,0
2019-10-25,PAVS,Paranovus Entertainment Technology Ltd.,89.44,1.23,-76.36,82.82,2019,Packaged Foods,96.6,97.33,59.67,34.8,8.01,8.82,-33.28,-61.09,Small Cap,0
2019-10-03,APRE,"Aprea Therapeutics, Inc.",410.0,1.75,-88.0,9.61,2019,Biotechnology,388.8,499.4,695.2,501.2,-5.17,21.8,69.56,22.24,Small Cap,1
2019-10-03,KRRO,"Korro Bio, Inc.",685.0,17.67,42.07,165.9,2019,Biotechnology,633.5,778.75,890.5,932.5,-7.52,13.69,30.0,36.13,Small Cap,1
2019-08-15,JFU,9F Inc.,195.2,1.5,-85.68,17.66,2019,Information Technology Services,227.4,203.0,188.4,39.2,16.5,4.0,-3.48,-79.92,Small Cap,0
2019-08-14,BTOG,Bit Origin Ltd,138.0,0.18,-96.54,1.5,2019,Financial Data & Stock Exchanges,136.2,133.8,84.6,37.8,-1.3,-3.04,-38.7,-72.61,Small Cap,0
2019-08-05,AMTD,AMTD IDEA Group,60.54,1.0,-87.95,66.05,2019,Asset Management,58.32,54.36,48.96,42.0,-3.67,-10.21,-19.13,-30.62,Small Cap,0
2019-08-01,SNDL,SNDL Inc.,84.8,1.35,-89.58,346.06,2019,Beverages - Wineries & Distilleries,123.0,79.6,26.4,5.84,45.05,-6.13,-68.87,-93.11,Mid Cap,0
2019-07-26,BHAT,Blue Hat Interactive Entertainment Technology,4580.0,2.08,-46.5,10.27,2019,Electronic Gaming & Multimedia,3700.0,2795.0,1720.0,1320.0,-19.21,-38.97,-62.45,-71.18,Small Cap,0
2019-05-10,SONM,"Sonim Technologies, Inc.",1099.0,1.43,-86.73,9.04,2019,Communication Equipment,1135.0,1713.0,229.0,101.0,3.28,55.87,-79.16,-90.81,Small Cap,0
2019-05-03,YJ,Yunji Inc.,566.0,1.74,-85.23,8.58,2019,Internet Retail,482.8,440.0,205.6,152.4,-14.7,-22.26,-63.67,-73.07,Small Cap,0
2019-04-18,HOOK,HOOKIPA Pharma Inc.,140.0,1.25,-91.07,15.68,2019,Biotechnology,141.5,116.7,71.3,80.5,1.07,-16.64,-49.07,-42.5,Small Cap,0
2019-03-28,DTIL,"Precision BioSciences, Inc.",523.2,5.67,-64.31,59.43,2019,Biotechnology,454.5,379.2,300.9,185.7,-13.13,-27.52,-42.49,-64.51,Small Cap,0
2019-02-26,SLE,"Super League Enterprise, Inc.",189.0,0.35,-96.73,6.22,2019,Internet Content & Information,186.0,162.6,117.0,71.6,-1.59,-13.97,-38.1,-62.12,Small Cap,0
2019-02-15,HOTH,"Hoth Therapeutics, Inc.",213.25,0.88,-84.11,11.57,2019,Biotechnology,172.25,136.25,132.75,120.0,-19.23,-36.11,-37.75,-43.73,Small Cap,0
